Date,Time,ProcessName,MemoryUsage,CPU
2025-04-01,00:00:00,csgo_linux,1428230 kB,73.8
2025-04-01,00:03:00,csgo_linux,1518757 kB,34.1
2025-04-01,00:10:00,firefox,507965 kB,14.8
2025-04-01,00:16:00,firefox,473879 kB,10.6
2025-04-01,00:28:00,gnome-shell,201042 kB,3.8
2025-04-01,00:34:00,csgo_linux,2008479 kB,30.7
2025-04-01,00:46:00,android-studio,1916335 kB,31.4
2025-04-01,00:53:00,chrome,1395039 kB,9.2
2025-04-01,00:58:00,csgo_linux,1547952 kB,72.8
2025-04-01,01:04:00,chrome,1294452 kB,18.3
2025-04-01,01:13:00,discord,293241 kB,11.8
2025-04-01,01:23:00,android-studio,1324884 kB,35.6
2025-04-01,01:37:00,Xorg,96937 kB,2.4
2025-04-01,01:39:00,code,535026 kB,5.7
2025-04-01,01:52:00,gradle,693345 kB,13.7
2025-04-01,01:57:00,gnome-shell,161489 kB,3.1
2025-04-01,02:08:00,code,539439 kB,6.8
2025-04-01,02:09:00,discord,348132 kB,6.0
2025-04-01,02:22:00,gradle,497460 kB,14.4
2025-04-01,02:35:00,spotify,276672 kB,3.6
2025-04-01,02:50:00,code,376431 kB,3.9
2025-04-01,03:01:00,firefox,999003 kB,5.5
2025-04-01,03:15:00,code,373414 kB,7.3
2025-04-01,03:30:00,android-studio,1834316 kB,10.9
2025-04-01,03:42:00,gradle,581678 kB,8.8
2025-04-01,03:49:00,code,519725 kB,5.4
2025-04-01,04:04:00,gnome-shell,203403 kB,1.1
2025-04-01,04:10:00,gradle,585206 kB,6.9
2025-04-01,04:20:00,android-studio,1736102 kB,10.6
2025-04-01,04:24:00,emulator,1865984 kB,52.6
2025-04-01,04:32:00,android-studio,1127771 kB,22.3
2025-04-01,04:37:00,firefox,402609 kB,17.8
2025-04-01,04:52:00,code,346430 kB,9.3
2025-04-01,04:57:00,chrome,804340 kB,24.6
2025-04-01,05:11:00,firefox,1030951 kB,5.8
2025-04-01,05:22:00,Xorg,92732 kB,1.9
2025-04-01,05:34:00,firefox,952454 kB,3.4
2025-04-01,05:40:00,android-studio,1076263 kB,25.9
2025-04-01,05:50:00,emulator,2023678 kB,39.3
2025-04-01,05:54:00,chrome,667811 kB,10.8
2025-04-01,06:09:00,discord,315281 kB,9.4
2025-04-01,06:13:00,Xorg,79618 kB,0.5
2025-04-01,06:23:00,discord,222406 kB,9.3
2025-04-01,06:31:00,firefox,1082664 kB,7.3
2025-04-01,06:40:00,emulator,2359515 kB,19.6
2025-04-01,06:42:00,chrome,650791 kB,10.3
2025-04-01,06:49:00,chrome,751641 kB,5.8
2025-04-01,06:51:00,discord,187913 kB,8.3
2025-04-01,07:01:00,chrome,810612 kB,21.8
2025-04-01,07:02:00,firefox,649124 kB,9.0
2025-04-01,07:12:00,Xorg,75373 kB,2.2
2025-04-01,07:27:00,gradle,364035 kB,16.2
2025-04-01,07:33:00,discord,290933 kB,4.4
2025-04-01,07:36:00,gradle,553662 kB,13.5
2025-04-01,07:38:00,emulator,2748768 kB,57.3
2025-04-01,07:49:00,android-studio,1121188 kB,33.9
2025-04-01,07:51:00,Xorg,74918 kB,1.7
2025-04-01,08:02:00,spotify,182914 kB,5.2
2025-04-01,08:10:00,Xorg,97426 kB,1.5
2025-04-01,08:17:00,gradle,578151 kB,21.8
2025-04-01,08:20:00,code,385003 kB,6.3
2025-04-01,08:21:00,code,479527 kB,11.4
2025-04-01,08:36:00,spotify,238618 kB,4.7
2025-04-01,08:38:00,spotify,259316 kB,3.3
2025-04-01,08:39:00,discord,160951 kB,8.0
2025-04-01,08:43:00,steam,525481 kB,8.3
2025-04-01,08:54:00,firefox,531180 kB,13.7
2025-04-01,09:01:00,firefox,1135188 kB,13.5
2025-04-01,09:11:00,spotify,252797 kB,2.4
2025-04-01,09:15:00,firefox,707418 kB,14.8
2025-04-01,09:29:00,chrome,647082 kB,9.8
2025-04-01,09:39:00,csgo_linux,1708338 kB,39.7
2025-04-01,09:50:00,discord,290078 kB,7.0
2025-04-01,10:01:00,android-studio,1761702 kB,23.2
2025-04-01,10:02:00,firefox,528164 kB,17.8
2025-04-01,10:13:00,firefox,832837 kB,14.9
2025-04-01,10:22:00,code,491124 kB,4.0
2025-04-01,10:29:00,code,545109 kB,8.8
2025-04-01,10:44:00,emulator,2388416 kB,61.0
2025-04-01,10:51:00,firefox,493891 kB,9.3
2025-04-01,11:03:00,firefox,534502 kB,16.5
2025-04-01,11:04:00,steam,291957 kB,17.6
2025-04-01,11:09:00,firefox,558343 kB,17.2
2025-04-01,11:16:00,emulator,1969559 kB,24.0
2025-04-01,11:22:00,gnome-shell,186850 kB,4.1
2025-04-01,11:33:00,firefox,527838 kB,12.4
2025-04-01,11:47:00,Xorg,91835 kB,2.3
2025-04-01,11:57:00,discord,173456 kB,2.5
2025-04-01,12:10:00,Xorg,79684 kB,1.8
2025-04-01,12:25:00,firefox,1105407 kB,3.4
2025-04-01,12:31:00,firefox,1124324 kB,15.4
2025-04-01,12:37:00,spotify,234726 kB,4.3
2025-04-01,12:48:00,firefox,603674 kB,11.4
2025-04-01,13:01:00,csgo_linux,1296349 kB,40.0
2025-04-01,13:06:00,discord,162614 kB,7.5
2025-04-01,13:10:00,firefox,959725 kB,11.2
2025-04-01,13:11:00,android-studio,1420462 kB,17.3
2025-04-01,13:18:00,android-studio,1040841 kB,33.9
2025-04-01,13:19:00,discord,423302 kB,7.7
2025-04-01,13:26:00,discord,195852 kB,8.9
2025-04-01,13:27:00,code,505974 kB,4.8
2025-04-01,13:33:00,Xorg,98277 kB,0.8
2025-04-01,13:43:00,chrome,626769 kB,14.0
2025-04-01,13:45:00,chrome,1215929 kB,11.1
2025-04-01,13:51:00,firefox,541096 kB,8.4
2025-04-01,14:01:00,emulator,1878358 kB,16.2
2025-04-01,14:03:00,spotify,227435 kB,5.9
2025-04-01,14:05:00,steam,730730 kB,7.4
2025-04-01,14:18:00,steam,487303 kB,25.6
2025-04-01,14:29:00,gnome-shell,186543 kB,4.9
2025-04-01,14:40:00,android-studio,1383880 kB,36.0
2025-04-01,14:54:00,emulator,1779600 kB,39.3
2025-04-01,15:01:00,minecraft,1499969 kB,56.6
2025-04-01,15:14:00,csgo_linux,1729248 kB,67.7
2025-04-01,15:22:00,minecraft,1373311 kB,46.3
2025-04-01,15:33:00,chrome,1381507 kB,17.0
2025-04-01,15:38:00,gradle,519810 kB,7.1
2025-04-01,15:52:00,steam,393994 kB,10.4
2025-04-01,15:55:00,steam,444315 kB,11.8
2025-04-01,16:07:00,minecraft,1266132 kB,64.4
2025-04-01,16:14:00,android-studio,1253825 kB,29.8
2025-04-01,16:27:00,discord,372315 kB,6.2
2025-04-01,16:39:00,csgo_linux,1529895 kB,69.3
2025-04-01,16:41:00,code,489455 kB,5.4
2025-04-01,16:47:00,steam,324996 kB,32.7
2025-04-01,16:56:00,android-studio,1938826 kB,24.6
2025-04-01,17:10:00,steam,694984 kB,17.6
