Date,Time,ProcessName,MemoryUsage,CPU
2025-04-01,00:00:00,gnome-shell,123611 kB,3.6
2025-04-01,00:07:00,csgo_linux,1541608 kB,23.2
2025-04-01,00:22:00,spotify,284638 kB,6.6
2025-04-01,00:34:00,csgo_linux,1368398 kB,68.4
2025-04-01,00:41:00,discord,396304 kB,4.7
2025-04-01,00:51:00,code,478966 kB,7.2
2025-04-01,00:55:00,csgo_linux,1390542 kB,44.0
2025-04-01,01:00:00,steam,383340 kB,19.8
2025-04-01,01:12:00,android-studio,1972889 kB,29.4
2025-04-01,01:13:00,chrome,636191 kB,5.6
2025-04-01,01:26:00,android-studio,1960705 kB,20.8
2025-04-01,01:38:00,csgo_linux,2309577 kB,22.7
2025-04-01,01:43:00,android-studio,1978678 kB,30.2
2025-04-01,01:50:00,steam,744381 kB,18.1
2025-04-01,01:57:00,code,392324 kB,11.4
2025-04-01,02:05:00,code,295200 kB,8.5
2025-04-01,02:12:00,steam,627006 kB,11.0
2025-04-01,02:23:00,discord,243157 kB,9.0
2025-04-01,02:37:00,steam,309028 kB,15.2
2025-04-01,02:52:00,android-studio,1480364 kB,11.4
2025-04-01,03:00:00,code,445429 kB,3.2
2025-04-01,03:04:00,csgo_linux,1614004 kB,39.6
2025-04-01,03:17:00,chrome,1257887 kB,10.4
2025-04-01,03:21:00,gradle,503952 kB,19.0
2025-04-01,03:36:00,code,397709 kB,8.9
2025-04-01,03:51:00,chrome,1295211 kB,16.9
2025-04-01,04:05:00,emulator,1831676 kB,58.8
2025-04-01,04:16:00,firefox,1099321 kB,18.0
2025-04-01,04:21:00,chrome,554760 kB,8.8
2025-04-01,04:30:00,chrome,626945 kB,15.5
2025-04-01,04:38:00,firefox,963926 kB,12.2
2025-04-01,04:42:00,steam,249536 kB,25.3
2025-04-01,04:45:00,csgo_linux,1651002 kB,20.2
2025-04-01,05:00:00,spotify,191188 kB,4.1
2025-04-01,05:05:00,steam,379052 kB,13.6
2025-04-01,05:13:00,firefox,1099077 kB,4.3
2025-04-01,05:15:00,chrome,1365358 kB,14.7
2025-04-01,05:16:00,steam,515796 kB,26.4
2025-04-01,05:20:00,obs,469071 kB,32.5
2025-04-01,05:25:00,chrome,1274591 kB,15.9
2025-04-01,05:40:00,code,401058 kB,4.1
2025-04-01,05:46:00,obs,365128 kB,7.8
2025-04-01,05:50:00,firefox,920976 kB,6.2
2025-04-01,06:05:00,android-studio,1717736 kB,39.5
2025-04-01,06:08:00,steam,258991 kB,16.1
2025-04-01,06:09:00,chrome,940111 kB,8.5
2025-04-01,06:24:00,code,309063 kB,9.0
2025-04-01,06:35:00,chrome,1405233 kB,22.5
2025-04-01,06:49:00,discord,281311 kB,6.0
2025-04-01,06:54:00,chrome,1241035 kB,24.9
2025-04-01,06:56:00,gradle,368805 kB,5.7
2025-04-01,07:03:00,android-studio,1427607 kB,35.6
2025-04-01,07:11:00,discord,240567 kB,6.3
2025-04-01,07:14:00,gnome-shell,134929 kB,3.3
2025-04-01,07:21:00,gnome-shell,172039 kB,1.5
2025-04-01,07:33:00,minecraft,1504342 kB,67.4
2025-04-01,07:44:00,chrome,662801 kB,22.3
2025-04-01,07:59:00,obs,424808 kB,18.0
2025-04-01,08:05:00,steam,233156 kB,31.2
2025-04-01,08:11:00,csgo_linux,2262041 kB,45.6
2025-04-01,08:22:00,gnome-shell,123218 kB,5.0
2025-04-01,08:29:00,discord,309133 kB,7.7
2025-04-01,08:44:00,chrome,1183327 kB,14.6
2025-04-01,08:59:00,discord,422614 kB,8.9
2025-04-01,09:11:00,spotify,151636 kB,1.0
2025-04-01,09:23:00,obs,481171 kB,7.4
2025-04-01,09:36:00,firefox,1028356 kB,9.3
2025-04-01,09:47:00,discord,241442 kB,6.2
2025-04-01,10:00:00,gnome-shell,215210 kB,4.9
2025-04-01,10:01:00,android-studio,1895399 kB,34.2
2025-04-01,10:11:00,chrome,634037 kB,22.1
2025-04-01,10:25:00,discord,316679 kB,3.4
2025-04-01,10:27:00,gradle,420215 kB,5.2
2025-04-01,10:42:00,csgo_linux,2128878 kB,42.8
2025-04-01,10:45:00,steam,294587 kB,20.2
2025-04-01,10:58:00,Xorg,88046 kB,1.2
2025-04-01,10:59:00,gnome-shell,183653 kB,3.8
2025-04-01,11:00:00,steam,618567 kB,29.1
2025-04-01,11:03:00,discord,223067 kB,2.1
2025-04-01,11:05:00,chrome,1315403 kB,7.3
2025-04-01,11:10:00,gnome-shell,211117 kB,2.3
2025-04-01,11:17:00,android-studio,1588620 kB,19.1
2025-04-01,11:32:00,android-studio,1877000 kB,13.6
2025-04-01,11:43:00,csgo_linux,2047078 kB,53.9
2025-04-01,11:45:00,spotify,188478 kB,5.4
2025-04-01,11:51:00,gnome-shell,205911 kB,2.7
2025-04-01,12:04:00,csgo_linux,1830911 kB,79.5
2025-04-01,12:05:00,steam,331188 kB,20.4
2025-04-01,12:15:00,chrome,754483 kB,24.1
2025-04-01,12:25:00,gradle,332297 kB,21.0
2025-04-01,12:30:00,gnome-shell,207713 kB,3.7
2025-04-01,12:35:00,emulator,2061498 kB,23.0
2025-04-01,12:41:00,firefox,875544 kB,4.0
2025-04-01,12:43:00,csgo_linux,1829237 kB,77.0
2025-04-01,12:54:00,spotify,165709 kB,4.4
2025-04-01,13:03:00,chrome,1126181 kB,13.9
2025-04-01,13:18:00,chrome,780839 kB,17.5
2025-04-01,13:26:00,discord,304484 kB,3.4
2025-04-01,13:38:00,steam,398017 kB,17.5
2025-04-01,13:52:00,csgo_linux,1477040 kB,62.9
2025-04-01,14:02:00,spotify,256549 kB,1.4
2025-04-01,14:17:00,gradle,560578 kB,7.5
2025-04-01,14:19:00,gradle,368100 kB,14.5
2025-04-01,14:23:00,steam,764378 kB,7.5
2025-04-01,14:38:00,code,475127 kB,7.9
2025-04-01,14:42:00,code,401208 kB,8.9
2025-04-01,14:48:00,emulator,1241004 kB,59.1
2025-04-01,14:54:00,code,406074 kB,7.9
2025-04-01,14:58:00,emulator,2669985 kB,57.7
2025-04-01,15:04:00,code,496933 kB,10.4
2025-04-01,15:17:00,code,512777 kB,9.7
2025-04-01,15:18:00,chrome,846750 kB,24.0
2025-04-01,15:27:00,firefox,860743 kB,17.1
2025-04-01,15:34:00,chrome,1278548 kB,7.7
2025-04-01,15:35:00,chrome,537036 kB,24.0
2025-04-01,15:43:00,firefox,766723 kB,2.6
2025-04-01,15:47:00,chrome,750802 kB,14.3
2025-04-01,15:48:00,minecraft,1505713 kB,25.5
2025-04-01,16:02:00,code,358001 kB,9.5
2025-04-01,16:05:00,csgo_linux,2112542 kB,72.4
2025-04-01,16:20:00,spotify,240948 kB,2.0
2025-04-01,16:26:00,android-studio,1782314 kB,20.9
2025-04-01,16:27:00,firefox,927476 kB,6.4
2025-04-01,16:41:00,minecraft,1167856 kB,30.1
2025-04-01,16:55:00,gradle,677721 kB,18.5
2025-04-01,17:07:00,emulator,1473842 kB,37.8
2025-04-01,17:17:00,chrome,741593 kB,19.5
2025-04-01,17:23:00,csgo_linux,1588419 kB,64.5
2025-04-01,17:29:00,csgo_linux,1809416 kB,42.2
2025-04-01,17:41:00,emulator,1560436 kB,48.2
2025-04-01,17:46:00,chrome,724605 kB,13.4
2025-04-01,17:59:00,minecraft,1243023 kB,36.0
2025-04-01,18:00:00,firefox,618392 kB,16.4
2025-04-01,18:14:00,chrome,1352568 kB,13.3
2025-04-01,18:26:00,csgo_linux,1994072 kB,61.3
2025-04-01,18:41:00,csgo_linux,2365135 kB,79.2
2025-04-01,18:54:00,code,305734 kB,12.3
2025-04-01,19:08:00,spotify,164906 kB,4.8
2025-04-01,19:22:00,gnome-shell,136016 kB,3.2
2025-04-01,19:25:00,code,352706 kB,14.3
2025-04-01,19:37:00,chrome,698677 kB,29.0
2025-04-01,19:40:00,Xorg,94716 kB,1.2
2025-04-01,19:52:00,firefox,443863 kB,9.5
2025-04-01,19:53:00,csgo_linux,1881504 kB,88.5
2025-04-01,20:06:00,emulator,1685947 kB,53.6
2025-04-01,20:15:00,Xorg,74643 kB,1.8
2025-04-01,20:25:00,gradle,610850 kB,12.9
2025-04-01,20:30:00,chrome,942708 kB,23.5
2025-04-01,20:40:00,firefox,478921 kB,17.9
2025-04-01,20:49:00,android-studio,1728464 kB,27.0
2025-04-01,21:01:00,android-studio,1323571 kB,45.1
2025-04-01,21:07:00,obs,240695 kB,15.1
2025-04-01,21:21:00,gradle,389942 kB,25.8
2025-04-01,21:25:00,android-studio,1106506 kB,33.2
2025-04-01,21:33:00,firefox,1083637 kB,8.5
2025-04-01,21:43:00,chrome,1084049 kB,10.7
2025-04-01,21:51:00,android-studio,1661874 kB,30.2
2025-04-01,21:56:00,chrome,698430 kB,29.3
2025-04-01,22:04:00,Xorg,94280 kB,2.7
2025-04-01,22:19:00,chrome,1016963 kB,24.0
2025-04-01,22:30:00,firefox,976529 kB,8.1
2025-04-01,22:45:00,emulator,1976843 kB,76.5
2025-04-01,22:46:00,emulator,1465639 kB,64.9
2025-04-01,22:59:00,emulator,2059561 kB,30.0
2025-04-01,23:14:00,discord,437257 kB,4.9
2025-04-01,23:21:00,chrome,695936 kB,8.1
2025-04-01,23:32:00,firefox,1129486 kB,5.7
2025-04-01,23:46:00,spotify,275039 kB,3.6
2025-04-01,23:55:00,firefox,728395 kB,11.9
2025-04-02,00:00:00,csgo_linux,2319095 kB,44.0
2025-04-02,00:10:00,firefox,634367 kB,4.9
2025-04-02,00:17:00,android-studio,1791719 kB,39.5
2025-04-02,00:23:00,discord,215395 kB,8.7
2025-04-02,00:24:00,chrome,1486522 kB,15.4
2025-04-02,00:36:00,minecraft,1198571 kB,48.4
2025-04-02,00:43:00,steam,317138 kB,32.1
2025-04-02,00:50:00,emulator,2647912 kB,16.9
2025-04-02,01:00:00,gnome-shell,203898 kB,4.9
2025-04-02,01:13:00,csgo_linux,1619638 kB,62.8
2025-04-02,01:15:00,Xorg,70484 kB,0.9
2025-04-02,01:29:00,discord,305264 kB,6.3
2025-04-02,01:39:00,code,338141 kB,4.1
2025-04-02,01:46:00,spotify,212865 kB,1.5
2025-04-02,01:51:00,discord,310425 kB,2.4
2025-04-02,02:05:00,discord,304189 kB,11.4
2025-04-02,02:11:00,chrome,1111194 kB,5.8
2025-04-02,02:22:00,firefox,633422 kB,3.1
2025-04-02,02:25:00,zoom,396782 kB,5.8
2025-04-02,02:32:00,chrome,1324225 kB,23.7
2025-04-02,02:45:00,code,298679 kB,6.9
2025-04-02,02:57:00,discord,236814 kB,11.9
2025-04-02,02:59:00,chrome,677823 kB,18.6
2025-04-02,03:11:00,emulator,1985711 kB,41.8
2025-04-02,03:26:00,code,523343 kB,6.9
2025-04-02,03:27:00,android-studio,1766456 kB,38.6
2025-04-02,03:35:00,chrome,1414192 kB,14.5
2025-04-02,03:48:00,firefox,1141332 kB,16.7
2025-04-02,04:02:00,android-studio,1339861 kB,37.4
2025-04-02,04:11:00,discord,272155 kB,11.8
2025-04-02,04:17:00,android-studio,1324685 kB,27.7
2025-04-02,04:21:00,code,409194 kB,7.5
2025-04-02,04:30:00,steam,342382 kB,6.9
2025-04-02,04:32:00,code,304261 kB,6.4
2025-04-02,04:44:00,chrome,1287554 kB,20.1
2025-04-02,04:49:00,android-studio,1698075 kB,22.1
2025-04-02,04:56:00,postman,229639 kB,6.8
2025-04-02,05:03:00,android-studio,1179809 kB,36.7
2025-04-02,05:06:00,android-studio,1992702 kB,11.8
2025-04-02,05:07:00,android-studio,1938462 kB,31.5
2025-04-02,05:09:00,gradle,609888 kB,20.0
2025-04-02,05:20:00,zoom,421380 kB,4.9
2025-04-02,05:27:00,steam,270519 kB,17.2
2025-04-02,05:37:00,discord,191425 kB,5.8
2025-04-02,05:38:00,chrome,952964 kB,11.4
2025-04-02,05:49:00,code,262898 kB,9.0
2025-04-02,05:50:00,code,521162 kB,7.1
2025-04-02,06:00:00,steam,348794 kB,7.7
2025-04-02,06:04:00,emulator,1366103 kB,15.7
2025-04-02,06:09:00,gnome-shell,162862 kB,4.0
2025-04-02,06:10:00,chrome,978480 kB,12.2
2025-04-02,06:24:00,spotify,222738 kB,6.6
2025-04-02,06:33:00,firefox,759627 kB,6.4
2025-04-02,06:47:00,steam,509353 kB,5.1
2025-04-02,06:58:00,code,532706 kB,7.6
2025-04-02,07:10:00,android-studio,1867219 kB,37.3
2025-04-02,07:22:00,csgo_linux,1771773 kB,23.3
2025-04-02,07:23:00,gnome-shell,159987 kB,4.9
2025-04-02,07:38:00,code,352750 kB,9.7
